cluster_id,cluster,mode,crop,water_regime,inherited_input_label,v30_status,activity_upper,yield_2020,inherited_yield_2021,v30_yield_2021,inherited_yield_2025,v30_yield_2025,v30_yield_2050,after_2020_rule
TEC_ckkki,LNDAGRPHLC04,4,maize,rainfed,high,active_observed_cost_system,99999,0.4246637202860322,0.4316350785768305,0.43249726758135404,0.4469749758951071,0.4638314567626417,0.6424648207225094,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,5,vegetables,irrigated,high,active_observed_cost_system,99999,1.382800802849851,1.382800802849851,1.3968954054488445,1.3966288108783496,1.453273815844818,1.753562069918177,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,6,sugarcane,irrigated,high,active_observed_cost_system,99999,10.71169195670388,10.95594062405137,10.79974819963047,8.170136246453431,11.151973171336829,12.57184690912383,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,7,maize,irrigated,low,inactive_unsupported_pair,1e-06,0.15694094010570758,0.1595173116479591,0.1595173116479591,0.16518640413514826,0.16518640413514826,0.21184032980476125,inactive
TEC_ckkki,LNDAGRPHLC04,8,coconut,rainfed,high,active_observed_cost_system,99999,0.5522283841608812,0.5615282322023963,0.556825457581169,0.5458407318610535,0.5752137512623204,0.6603188841232939,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,9,sugarcane,irrigated,low,inactive_unsupported_pair,1e-06,3.3883923536512275,3.465654687199924,3.465654687199924,2.5844308534699634,2.5844308534699634,3.3143568153995777,inactive
TEC_ckkki,LNDAGRPHLC04,10,maize,irrigated,high,active_observed_cost_system,99999,0.4246637202860322,0.4316350785768305,0.43249726758135404,0.4469749758951071,0.4638314567626417,0.6424648207225094,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,11,rice_rain,rainfed,high,active_observed_cost_system,99999,0.515120968866792,0.5287667042264889,0.5207051579049271,0.5371043246931592,0.5430419140574673,0.6489286188099048,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,12,vegetables,rainfed,low,inactive_unsupported_pair,1e-06,0.20980425974273603,0.20980425974273603,0.20980425974273603,0.21190230234016338,0.21190230234016338,0.2717502923388408,inactive
TEC_ckkki,LNDAGRPHLC04,13,vegetables,irrigated,low,inactive_unsupported_pair,1e-06,0.20980425974273603,0.20980425974273603,0.20980425974273603,0.21190230234016338,0.21190230234016338,0.2717502923388408,inactive
TEC_ckkki,LNDAGRPHLC04,14,rice_rain,rainfed,low,inactive_unsupported_pair,1e-06,0.128780242216698,0.13219167605662221,0.13219167605662221,0.1342760811732898,0.1342760811732898,0.17219994266215805,inactive
TEC_ckkki,LNDAGRPHLC04,15,maize,rainfed,low,inactive_unsupported_pair,1e-06,0.1384773000932714,0.14075056910114037,0.14075056910114037,0.14575270953101319,0.14575270953101319,0.18691793806302462,inactive
TEC_ckkki,LNDAGRPHLC04,16,coconut,irrigated,high,active_observed_cost_system,99999,0.5522283841608812,0.5615282322023963,0.556825457581169,0.5458407318610535,0.5752137512623204,0.6603188841232939,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,17,rice_irrig,irrigated,low,inactive_unsupported_pair,1e-06,0.2837457770640652,0.2867961485916017,0.2867961485916017,0.2835847587504267,0.2835847587504267,0.3636781679207907,inactive
