REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2022,S2D2,22.837364
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2022,S2D1,22.837364
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2022,S1D2,22.837364
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2022,S1D1,22.837364
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2023,S2D2,57.91409
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2023,S2D1,57.91409
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2023,S1D2,57.91409
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2023,S1D1,57.91409
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2023,S2D2,23.165636
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2023,S2D1,23.165636
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2023,S1D2,23.165636
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2023,S1D1,23.165636
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2024,S2D2,58.7347725
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2024,S2D1,58.7347725
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2024,S1D2,58.7347725
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2024,S1D1,58.7347725
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2024,S2D2,23.493909
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2024,S2D1,23.493909
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2024,S1D2,23.493909
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2024,S1D1,23.493909
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2025,S2D2,57.543065
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2025,S2D1,59.611715
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2025,S1D2,59.611715
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2025,S1D1,59.611715
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2025,S2D2,23.017226
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2025,S2D1,23.844686
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2025,S1D2,23.844686
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2025,S1D1,23.844686
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2026,S2D2,54.968922500000005
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2026,S2D1,60.466559999999994
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2026,S1D2,60.466559999999994
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2026,S1D1,60.466559999999994
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2026,S2D2,21.987569
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2026,S2D1,24.186624
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2026,S1D2,24.186624
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2026,S1D1,24.186624
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2027,S2D2,52.39555
