run,region,year,mode,account,commodity,unit,reference_available,terminal_counted,unaccounted_gap,coverage_percent,status
Base_v12,RE1,2049,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,237.52510000000018,0.0,237.52510000000018,0.0,ZERO
Base_v12,RE1,2050,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,370.4879999999997,0.0,370.4879999999997,0.0,ZERO
Base_v12,RE1,2050,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,21.160500000000006,0.0,21.160500000000006,0.0,ZERO
Base_v12,RE1,2050,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,236.23959999999968,0.0,236.23959999999968,0.0,ZERO
Base_v12,RE1,2051,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,370.4881999999997,0.0,370.4881999999997,0.0,ZERO
Base_v12,RE1,2051,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,21.160600000000002,0.0,21.160600000000002,0.0,ZERO
Base_v12,RE1,2051,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,233.39639999999997,0.0,233.39639999999997,0.0,ZERO
Base_v12,RE1,2052,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,370.48819999999984,0.0533,370.43489999999986,0.014386423103353906,PARTIAL
Base_v12,RE1,2052,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,12.49280000000001,1.6637,10.82910000000001,13.31727074795081,PARTIAL
Base_v12,RE1,2052,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,238.6114,0.0,238.6114,0.0,ZERO
Base_v12,RE1,2053,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,370.4880999999999,0.0,370.4880999999999,0.0,ZERO
Base_v12,RE1,2053,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,10.131699999999997,10.1036,0.028099999999996683,99.72265266440975,PARTIAL
Base_v12,RE1,2053,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,237.51640000000012,0.4425,237.07390000000012,0.18630292476645813,PARTIAL
PEP_v12,RE1,2020,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,404.93710000000016,0.0,404.93710000000016,0.0,ZERO
PEP_v12,RE1,2020,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.270599999999984,0.0,20.270599999999984,0.0,ZERO
PEP_v12,RE1,2020,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,257.4724999999997,0.0,257.4724999999997,0.0,ZERO
PEP_v12,RE1,2021,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,403.47969999999924,0.0,403.47969999999924,0.0,ZERO
PEP_v12,RE1,2021,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.313499999999966,0.0,20.313499999999966,0.0,ZERO
PEP_v12,RE1,2021,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,258.8883999999998,0.0,258.8883999999998,0.0,ZERO
PEP_v12,RE1,2022,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,402.02409999999975,0.0,402.02409999999975,0.0,ZERO
PEP_v12,RE1,2022,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.3542,0.0,20.3542,0.0,ZERO
PEP_v12,RE1,2022,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,257.0416000000003,0.0,257.0416000000003,0.0,ZERO
PEP_v12,RE1,2023,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,400.5662999999999,0.0,400.5662999999999,0.0,ZERO
PEP_v12,RE1,2023,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.39510000000002,0.0,20.39510000000002,0.0,ZERO
PEP_v12,RE1,2023,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,258.4021999999997,0.0,258.4021999999997,0.0,ZERO
PEP_v12,RE1,2024,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,399.10969999999975,0.0,399.10969999999975,0.0,ZERO
PEP_v12,RE1,2024,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.43460000000003,0.0,20.43460000000003,0.0,ZERO
PEP_v12,RE1,2024,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,257.5724000000003,0.0,257.5724000000003,0.0,ZERO
PEP_v12,RE1,2025,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,397.6486000000002,0.0,397.6486000000002,0.0,ZERO
PEP_v12,RE1,2025,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.476000000000035,0.0,20.476000000000035,0.0,ZERO
PEP_v12,RE1,2025,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,266.02599999999984,0.0,266.02599999999984,0.0,ZERO
PEP_v12,RE1,2026,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,396.28860000000003,0.0,396.28860000000003,0.0,ZERO
PEP_v12,RE1,2026,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.515099999999965,0.0,20.515099999999965,0.0,ZERO
PEP_v12,RE1,2026,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,267.24440000000004,0.0,267.24440000000004,0.0,ZERO
PEP_v12,RE1,2027,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,394.9292000000007,0.0,394.9292000000007,0.0,ZERO
PEP_v12,RE1,2027,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.552500000000013,0.0,20.552500000000013,0.0,ZERO
PEP_v12,RE1,2027,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,268.57269999999994,0.0,268.57269999999994,0.0,ZERO
PEP_v12,RE1,2028,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,393.56640000000027,0.0,393.56640000000027,0.0,ZERO
PEP_v12,RE1,2028,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.589199999999977,0.0,20.589199999999977,0.0,ZERO
PEP_v12,RE1,2028,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,268.2602000000001,0.0,268.2602000000001,0.0,ZERO
PEP_v12,RE1,2029,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,392.2625999999995,0.0,392.2625999999995,0.0,ZERO
PEP_v12,RE1,2029,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.62400000000002,0.0,20.62400000000002,0.0,ZERO
PEP_v12,RE1,2029,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,267.1239000000002,0.0,267.1239000000002,0.0,ZERO
PEP_v12,RE1,2030,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,390.9528999999997,0.0,390.9528999999997,0.0,ZERO
