cache_filename,model_crop_code,gaez_crop,model_variable,gaez_name,input_level,water_supply,available_water_content,climate_model,pathway,time_period,source_unit,download_url,file_identifier,selection_table,selection_table_csv_line
RCP yld Irrigation High.tif,RCP,Wetland rice,yld,ricw200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200a_yld.tif,325293,GAEZ_yld_High_Input.csv,414
RCP yld Irrigation Low.tif,RCP,Wetland rice,yld,ricw200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200a_yld.tif,278061,GAEZ_yld_Low_Input.csv,102
RCP yld Rain-fed High.tif,RCP,Wetland rice,yld,ricw200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200b_yld.tif,324865,GAEZ_yld_High_Input.csv,415
RCP yld Rain-fed Low.tif,RCP,Wetland rice,yld,ricw200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200b_yld.tif,277633,GAEZ_yld_Low_Input.csv,103
RUB cwd Irrigation High.tif,RUB,Para rubber,cwd,prub200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/prub200a_wde.tif,502179,GAEZ_cwd_High_Input.csv,406
RUB cwd Rain-fed High.tif,RUB,Para rubber,cwd,prub200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/prub200b_wde.tif,502190,GAEZ_cwd_High_Input.csv,407
RUB evt Irrigation High.tif,RUB,Para rubber,evt,prub200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/prub200a_eta.tif,502172,GAEZ_evt_High_Input.csv,406
RUB evt Rain-fed High.tif,RUB,Para rubber,evt,prub200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/prub200b_eta.tif,502183,GAEZ_evt_High_Input.csv,407
RUB yld Irrigation High.tif,RUB,Para rubber,yld,prub200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/prub200a_yld.tif,502180,GAEZ_yld_High_Input.csv,406
RUB yld Rain-fed High.tif,RUB,Para rubber,yld,prub200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/prub200b_yld.tif,502191,GAEZ_yld_High_Input.csv,407
SGC cwd Irrigation High.tif,SGC,Sugarcane,cwd,sugc200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200a_wde.tif,324462,GAEZ_cwd_High_Input.csv,430
SGC cwd Irrigation Low.tif,SGC,Sugarcane,cwd,sugc200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/sugc200a_wde.tif,277230,GAEZ_cwd_Low_Input.csv,118
SGC cwd Rain-fed High.tif,SGC,Sugarcane,cwd,sugc200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200b_wde.tif,329546,GAEZ_cwd_High_Input.csv,431
SGC cwd Rain-fed Low.tif,SGC,Sugarcane,cwd,sugc200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/sugc200b_wde.tif,282314,GAEZ_cwd_Low_Input.csv,119
SGC evt Irrigation High.tif,SGC,Sugarcane,evt,sugc200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200a_eta.tif,326575,GAEZ_evt_High_Input.csv,430
